Country,Year,Quantity Description,January,February,March,April,May,June,July,August,September,October,November,December
Brazil,2025,Value for: kilograms,0,"303,146","73,500","286,660","389,200","233,344","256,177","88,301","94,160","34,636","172,474","88,226"
Brazil,2026,Value for: kilograms,"85,586",0,"9,602","39,377",0,0,0,0,0,0,0,0
Brunei,2025,Value for: kilograms,0,0,0,0,0,0,"31,570",0,"72,216",0,0,0
Brunei,2026,Value for: kilograms,0,"129,620","80,471","70,573","132,107",0,0,0,0,0,0,0
China,2025,Value for: kilograms,"45,381,823","31,005,140","18,759,343","20,454,010","17,721,563","9,767,757","24,878,696","23,827,857","17,952,651","17,528,509","18,778,571","12,169,519"
China,2026,Value for: kilograms,"15,783,902","11,148,828","14,881,079","8,959,720","13,597,964",0,0,0,0,0,0,0
Colombia,2025,Value for: kilograms,0,"167,872","65,220","168,022",0,"351,437","318,051","328,622","7,519","268,909","94,806","476,081"
Colombia,2026,Value for: kilograms,"158,269","158,078","150,291","62,878","157,757",0,0,0,0,0,0,0
Ecuador,2025,Value for: kilograms,0,"32,452","38,007",0,0,"37,604",0,0,"15,168",0,0,0
Egypt,2025,Value for: kilograms,0,"50,400",0,0,0,0,0,0,0,0,0,0
Egypt,2026,Value for: kilograms,0,"49,952",0,0,0,0,0,0,0,0,0,0
Honduras,2025,Value for: kilograms,"117,792","615,058","119,460",0,0,"255,583","900,361","1,288,466","530,336","126,595","116,367","231,247"
Honduras,2026,Value for: kilograms,0,"3,965","169,933","299,665","521,232",0,0,0,0,0,0,0
Hong Kong,2025,Value for: kilograms,0,0,"40,869","51,023",0,0,0,"87,069",0,0,0,0
Hong Kong,2026,Value for: kilograms,"16,754",0,"48,828",0,0,0,0,0,0,0,0,0
India,2025,Value for: kilograms,0,0,0,0,0,0,"43,401",0,"48,778",0,0,0
India,2026,Value for: kilograms,"44,011","326,246","42,376",0,0,0,0,0,0,0,0,0
Indonesia,2025,Value for: kilograms,"4,250,387","2,543,419","3,710,131","6,029,921","2,613,547","5,898,773","3,631,781","4,523,487","4,927,529","7,350,950","6,253,374","7,388,500"
Indonesia,2026,Value for: kilograms,"6,589,598","5,825,087","5,741,765","5,494,299","3,708,192",0,0,0,0,0,0,0
Malaysia,2025,Value for: kilograms,"515,325","124,100","243,675","203,557","134,862","361,622","220,862","322,257","351,345","197,966","116,023","221,769"
Malaysia,2026,Value for: kilograms,0,"114,035","131,462",0,"113,135",0,0,0,0,0,0,0
Mexico,2025,Value for: kilograms,"3,600","477,610","292,994","516,606","300,827","285,660",0,0,"77,678",0,0,"147,960"
Mexico,2026,Value for: kilograms,0,"158,148","338,738","121,547",0,0,0,0,0,0,0,0
Panama,2025,Value for: kilograms,0,"7,493",0,"16,432","13,869",0,"79,276","60,179",0,"27,004",0,0
Peru,2025,Value for: kilograms,"176,400",0,"343,164","133,243","343,597",0,"172,580","518,083",0,0,0,"176,400"
Peru,2026,Value for: kilograms,"109,360","344,219","335,223",0,0,0,0,0,0,0,0,0
Portugal,2026,Value for: kilograms,0,"7,496",0,0,0,0,0,0,0,0,0,0
Taiwan,2025,Value for: kilograms,"1,652,255","1,035,250","1,628,293","1,911,750","1,550,927","1,982,261","1,826,697","1,632,682","725,658","386,327","761,777","945,096"
Taiwan,2026,Value for: kilograms,"509,860","690,248","531,329","847,872","780,806",0,0,0,0,0,0,0
Thailand,2025,Value for: kilograms,0,0,0,0,0,0,0,0,0,"55,440",0,0
Thailand,2026,Value for: kilograms,0,0,0,0,"30,800",0,0,0,0,0,0,0
United Arab Emirates,2025,Value for: kilograms,0,0,0,0,0,0,0,0,"105,800","88,850",0,0
United Arab Emirates,2026,Value for: kilograms,0,0,"110,900",0,0,0,0,0,0,0,0,0
Uruguay,2025,Value for: kilograms,0,0,0,0,0,0,"162,986",0,0,0,0,0
Vietnam,2025,Value for: kilograms,"1,605,582","854,139","1,302,982","1,372,805","3,070,728","3,332,558","5,623,230","4,707,176","7,077,650","3,908,762","2,326,827","2,216,976"
Vietnam,2026,Value for: kilograms,"2,273,007","2,696,630","2,312,608","2,853,226","1,317,520",0,0,0,0,0,0,0
