Country,Year,Quantity Description,January,February,March,April,May,June,July,August,September,October,November,December
Brazil,2025,kilograms,0,"56,868","18,562","53,164","97,007","68,267","99,891","40,789","21,682","19,465","37,358","19,087"
Brazil,2026,kilograms,"18,543",0,"1,361","5,453",0,0,0,0,0,0,0,0
Brunei,2025,kilograms,0,0,0,0,0,0,"7,475",0,"18,489",0,0,0
Brunei,2026,kilograms,0,"34,412","20,897","18,612","34,548",0,0,0,0,0,0,0
China,2025,kilograms,"12,146,940","8,176,335","5,055,574","5,551,513","5,185,448","3,686,780","9,230,705","8,622,276","7,107,379","6,887,509","7,900,632","5,177,977"
China,2026,kilograms,"6,799,026","4,892,479","6,516,667","3,845,424","6,115,826",0,0,0,0,0,0,0
Colombia,2025,kilograms,0,"17,636","6,862","17,636",0,"41,056","36,872","36,066",816,"28,958","10,582","51,906"
Colombia,2026,kilograms,"17,636","17,552","16,754","7,054","17,636",0,0,0,0,0,0,0
Ecuador,2025,kilograms,0,"8,304","16,900",0,0,"8,745",0,0,"1,975",0,0,0
Egypt,2025,kilograms,0,"20,412",0,0,0,0,0,0,0,0,0,0
Egypt,2026,kilograms,0,"20,231",0,0,0,0,0,0,0,0,0,0
Honduras,2025,kilograms,"14,742","73,563","14,246",0,0,"28,775","110,548","149,747","62,029","15,422","12,781","25,397"
Honduras,2026,kilograms,0,435,"20,384","28,112","48,073",0,0,0,0,0,0,0
Hong Kong,2025,kilograms,0,0,"6,634","8,221",0,0,0,"13,777",0,0,0,0
Hong Kong,2026,kilograms,"3,152",0,"9,072",0,0,0,0,0,0,0,0,0
India,2025,kilograms,0,0,0,0,0,0,"8,617",0,"9,526",0,0,0
India,2026,kilograms,"20,642","67,484","18,507",0,0,0,0,0,0,0,0,0
Indonesia,2025,kilograms,"459,073","288,501","397,664","673,910","311,848","684,296","451,422","558,754","600,830","860,726","755,392","873,242"
Indonesia,2026,kilograms,"819,886","684,073","706,637","674,135","460,316",0,0,0,0,0,0,0
Malaysia,2025,kilograms,"72,228","15,422","32,048","39,663","18,126","72,890","39,000","81,721","101,765","36,529","34,992","30,166"
Malaysia,2026,kilograms,0,"15,741","33,057",0,"15,556",0,0,0,0,0,0,0
Mexico,2025,kilograms,"1,642","134,599","38,197","70,771","36,007","31,519",0,0,"9,024",0,0,"16,416"
Mexico,2026,kilograms,0,"11,836","29,769","20,172",0,0,0,0,0,0,0,0
Panama,2025,kilograms,0,"1,152",0,"2,527","2,250",0,"13,064","9,938",0,"4,454",0,0
Peru,2025,kilograms,"16,344",0,"32,688","12,830","32,667",0,"16,344","48,991",0,0,0,"16,344"
Peru,2026,kilograms,"10,624","32,688","31,854",0,0,0,0,0,0,0,0,0
Portugal,2026,kilograms,0,837,0,0,0,0,0,0,0,0,0,0
Taiwan,2025,kilograms,"162,979","89,697","148,137","171,358","171,953","198,695","176,056","151,334","67,214","41,394","80,861","118,978"
Taiwan,2026,kilograms,"62,972","77,385","91,345","112,666","149,104",0,0,0,0,0,0,0
Thailand,2025,kilograms,0,0,0,0,0,0,0,0,0,"21,705",0,0
Thailand,2026,kilograms,0,0,0,0,"21,705",0,0,0,0,0,0,0
United Arab Emirates,2025,kilograms,0,0,0,0,0,0,0,0,"20,865","19,051",0,0
United Arab Emirates,2026,kilograms,0,0,"38,102",0,0,0,0,0,0,0,0,0
Uruguay,2025,kilograms,0,0,0,0,0,0,"60,036",0,0,0,0,0
Vietnam,2025,kilograms,"285,262","155,631","242,681","268,905","625,348","679,652","1,090,960","875,603","1,320,737","817,801","523,333","605,904"
Vietnam,2026,kilograms,"516,433","607,752","652,163","640,817","321,146",0,0,0,0,0,0,0
